0.0, 0.9999999999999994, inf, 1, 3
0.2, 0.9998064769636402, inf, 1, 3
0.4, 0.9971888028906818, inf, 1, 3
0.6, 0.9877908932342723, inf, 1, 3
0.8, 0.9685018651486912, inf, 1, 3
1.0, 0.940015670084066, inf, 1, 3
1.2, 0.9955541909404999, 0.00010323901920812475, 14, 45
1.4, 0.9905608511154669, 0.00021908904717885615, 12, 41
1.6, 1.006122242258038, inf, 10, 12
1.8, 0.9808876840524221, inf, 10, 12
2.0, 0.9533499043329611, 0.0006833111789607584, 9, 13
2.2, 0.9277904889990648, inf, 8, 10
2.4, 0.9435492654866272, 0.0017461660777634998, 8, 14
2.6, 0.9306854351641604, 0.002690836607653817, 7, 12
2.8, 0.9337433161535991, inf, 6, 8
3.0, 0.9214072069340444, 0.0028639115532408063, 6, 12
3.2, 0.9203990143910261, 0.0032523636135790577, 6, 11
3.4, 0.915493593479645, 0.001343190130342825, 5, 13
3.6, 0.9006017107807905, 0.002074489950399944, 5, 12
3.8, 0.903496642227292, 0.002956078131729026, 5, 12
4.0, 0.9000354951772473, 0.002793416270167802, 4, 12
4.2, 0.8895205156384628, 0.004458210983172175, 4, 11
4.4, 0.8859795945464338, 0.004691048280554329, 4, 11
4.6, 0.8755388788006548, 0.0020093531700283848, 4, 10
4.8, 0.8941639517573863, inf, 4, 6
5.0, 0.8563368960304695, 0.008245169623471459, 4, 8
5.2, 0.8069111540312385, 0.005112398794055885, 5, 9
5.4, 0.7802294887948648, 0.010152567161733031, 5, 8
5.6, 0.7807701158930582, 0.002779477793784233, 5, 10
5.8, 0.8063299805810473, 0.003994186309387137, 4, 16
6.0, 0.7777523984181627, 0.005199828001163389, 4, 16
6.2, 0.7145264597131428, 0.004690800970888091, 4, 13
6.4, 0.7059823736260894, 0.006917425156096149, 4, 10
6.6, 0.6943594523892245, 0.009860130002752314, 4, 8
6.8, 0.6888629683219754, 0.006772214253316476, 4, 7
7.0, 0.6887144890704116, 0.003574029769292518, 4, 7
7.2, 0.6701893560862453, 0.007334051055099047, 4, 7
7.4, 0.6643128179708422, 0.0049414577583413955, 4, 9
7.6, 0.6143996091409026, 0.02918714510583218, 4, 7
7.8, 0.6560548369518989, 0.0032145545618826816, 4, 8
8.0, 0.6405538213173388, 0.0020006439671371927, 4, 9
8.2, 0.6211708981183076, 0.017596796679995058, 4, 7
8.4, 0.5966030069356194, 0.004702315803172841, 4, 10
8.6, 0.6641588134172924, 0.009800806309733937, 3, 8
8.8, 0.6621022594508519, 0.009000196201676783, 3, 7
9.0, 0.6669315895293491, 0.005907604043444509, 3, 8
9.2, 0.6520130466869043, 0.005651762512264158, 3, 6
9.4, 0.606683967931822, 0.0050284725992760845, 3, 6
9.6, 0.7303021184234195, 0.008670679257713679, 3, 13
9.8, 0.6858538452877018, 0.01554970501038367, 3, 8
10.0, 0.6353962328758449, 0.0049456110964112695, 3, 11
10.2, 0.6364084863069777, 0.004778349443165887, 3, 10
10.4, 0.5925197491929165, 0.005120671075428831, 3, 9
10.6, 0.4902383099755396, 0.02559587776961905, 3, 10
10.8, 0.568206968539344, 0.00683924628873201, 3, 8
11.0, 0.5363034051159244, 0.010936966286051798, 3, 8
11.2, 0.5085587383868707, 0.007825707795784325, 3, 10
11.4, 0.4924025677437751, 0.015933025600135087, 3, 9
11.6, 0.5180636211460983, 0.012918327239988281, 3, 8
11.8, 0.48315921234173076, 0.033080525266691495, 3, 8
12.0, 0.5845013756635111, 0.02505961587640298, 3, 7
12.2, 0.5801815822896013, 0.023972959398205845, 3, 7
12.4, 0.5749912415559761, 0.019581002528623104, 3, 7
12.6, 0.580292336550736, 0.025906782913770344, 3, 7
12.8, 0.5595961383656278, 0.03891985436363581, 3, 6
13.0, 0.5976444997514554, 0.03192586362879995, 3, 7
13.2, 0.5542568734143493, 0.01759996291119258, 3, 7
13.4, 0.5495569666170873, 0.010827620413089512, 3, 7
13.6, 0.5328503123011717, 0.003266735715205377, 3, 7
13.8, 0.4958272911398716, 0.00303429573715337, 3, 6
14.0, 0.48041652256408557, 0.005728919554743666, 3, 8
14.2, 0.44673151943213174, 0.015792954330541866, 3, 6
14.4, 0.4518493548615527, 0.020782938567897917, 3, 6
14.6, 0.4398607459659694, 0.009975583890535473, 3, 8
14.8, 0.4783663454840119, 0.006777448124858923, 3, 8
15.0, 0.48248359823890363, 0.008492138749395634, 3, 8
15.2, 0.48941884246925366, 0.023556003519494457, 2, 8
15.4, 0.5123122157790256, 0.014673219078507405, 2, 9
15.6, 0.5545135122844213, 0.020205569590289758, 2, 5
15.8, 0.5202852160106215, 0.029720565590033114, 2, 5
16.0, 0.6346702659881525, 0.01753037009641194, 2, 10
16.2, 0.5117379975858591, 0.014213493414410703, 2, 10
16.4, 0.5154809168316263, 0.020172929035766823, 2, 8
16.6, 0.4637618336879543, 0.050468692425672666, 2, 6
16.8, 0.47789876045037566, 0.015550704860216844, 2, 7
17.0, 0.475452173453799, 0.006416750626210225, 2, 7
17.2, 0.4464468096017407, 0.031807545782921554, 2, 7
17.4, 0.41795208092570574, 0.012179091526212682, 2, 8
17.6, 0.41594251496103024, 0.024422248867045162, 2, 7
17.8, 0.4542688852950392, 0.007475023229071819, 2, 8
18.0, 0.45476528653467463, 0.017407488788729567, 2, 7
18.2, 0.45410416618898414, 0.019688989639780705, 2, 7
18.4, 0.499717891254068, 0.0031511344114597815, 2, 8
18.6, 0.513078424863721, 0.017009434000622225, 2, 6
18.8, 0.5494689392091383, 0.008404355501831488, 2, 8
